Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: WALKING
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SUPER_HAPPY
Time: 14 to 15 | Activity: ROPES
Time: 15 to 16 | Activity: ARTS
Time: 16 to 17 | Activity: VALENTINES
Time: 17 to 18 | Activity: TAXES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: PUMPKIN
Time: 20 to 21 | Activity: LAUNDRY
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: FRIENDLY_CONVERSATION
Time: 11 to 12 | Activity: SWIMMING
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: SLIP_N_SLIDE
Time: 14 to 15 | Activity: SUPER_HAPPY
Time: 15 to 16 | Activity: SANTA
Time: 16 to 17 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 17 to 18 | Activity: DISHES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LIFE_ADVICE
Time: 20 to 21 | Activity: ROPES
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: PHILOSOPHICAL_DISCUSSION
Time: 11 to 12 | Activity: GROCERIES
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: ARCHERY
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION
Time: 15 to 16 | Activity: JOGGING
Time: 16 to 17 | Activity: SUPER_HAPPY
Time: 17 to 18 | Activity: SLEEP
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: JUMPING
Time: 20 to 21 | Activity: ARTS
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: SLIP_N_SLIDE
Time: 11 to 12 | Activity: ARCHERY
Time: 12 to 13 | Activity: LUNCH
Time: 13 to 14 | Activity: RUNNING
Time: 14 to 15 | Activity: JOGGING
Time: 15 to 16 | Activity: SWIMMING
Time: 16 to 17 | Activity: VALENTINES
Time: 17 to 18 | Activity: GROCERIES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: GAMES
Time: 20 to 21 | Activity: LAUNDRY
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: GROCERIES
Time: 11 to 12 | Activity: LUNCH
Time: 11 to 12 | Activity: LUNCH
Time: 13 to 14 | Activity: DISHES
Time: 14 to 15 | Activity: LAUNDRY
Time: 15 to 16 | Activity: JOGGING
Time: 16 to 17 | Activity: FRIENDLY_CONVERSATION
Time: 17 to 18 | Activity: CRAFTS
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: ARTS
Time: 20 to 21 | Activity: TAXES
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
Time: 10 to 11 | Activity: LUNCH
Time: 11 to 12 | Activity: PUMPKIN
Time: 10 to 11 | Activity: LUNCH
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION
Time: 14 to 15 | Activity: JOGGING
Time: 15 to 16 | Activity: LIFE_ADVICE
Time: 16 to 17 | Activity: RUNNING
Time: 17 to 18 | Activity: DISHES
Time: 18 to 19 | Activity: DINNER
Time: 19 to 20 | Activity: LAUNDRY
Time: 20 to 21 | Activity: VALENTINES
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP
Time: 9 to 10 | Activity: BREAKFAST
