Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: GROCERIES__MARKET
Time: 11 to 12 | Activity: LAUNDRY__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 14 to 15 | Activity: SLIP_N_SLIDE__CABIN
Time: 15 to 16 | Activity: PUMPKIN__FIELD
Time: 16 to 17 | Activity: ROPES__FUN_ZONE
Time: 17 to 18 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: JUMPING__FIELD
Time: 20 to 21 | Activity: SWIMMING__POOL
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: RUNNING__TRACK
Time: 11 to 12 | Activity: SLEEP__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: JUMPING__FIELD
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 15 to 16 | Activity: WALKING__TRACK
Time: 16 to 17 | Activity: GAMES__CABIN
Time: 17 to 18 | Activity: GROCERIES__MARKET
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: ARCHERY__FIELD
Time: 20 to 21 | Activity: PUMPKIN__FIELD
Wednesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: LIFE_ADVICE__CABIN
Time: 11 to 12 | Activity: SANTA__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ARCHERY__FIELD
Time: 14 to 15 | Activity: CRAFTS__CABIN
Time: 15 to 16 | Activity: SLIP_N_SLIDE__CABIN
Time: 16 to 17 | Activity: ROPES__FUN_ZONE
Time: 17 to 18 | Activity: EAT_CANDY__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 20 to 21 | Activity: FRIENDLY_CONVERSATION__CABIN
Thursday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: THROW_STICKS__FIELD
Time: 11 to 12 | Activity: ARTS__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: GAMES__CABIN
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 15 to 16 | Activity: SLEEP__CABIN
Time: 16 to 17 | Activity: WALKING__TRACK
Time: 17 to 18 | Activity: VALENTINES__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: LAUNDRY__CABIN
Time: 20 to 21 | Activity: SLIP_N_SLIDE__CABIN
Friday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: CRAFTS__CABIN
Time: 11 to 12 | Activity: LIFE_ADVICE__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: TAXES__LIBRARY
Time: 14 to 15 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 15 to 16 | Activity: EAT_CANDY__CABIN
Time: 16 to 17 | Activity: SWIMMING__POOL
Time: 17 to 18 | Activity: VALENTINES__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: PUMPKIN__FIELD
Time: 20 to 21 | Activity: GROCERIES__MARKET
Saturday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: CRAFTS__CABIN
Time: 11 to 12 | Activity: PHILOSOPHICAL_DISCUSSION__LIBRARY
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: ARCHERY__FIELD
Time: 14 to 15 | Activity: TAXES__LIBRARY
Time: 15 to 16 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 16 to 17 | Activity: LAUNDRY__CABIN
Time: 17 to 18 | Activity: THROW_STICKS__FIELD
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: SWIMMING__POOL
Time: 20 to 21 | Activity: SLEEP__CABIN
Sunday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 11 to 12 | Activity: CRAFTS__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: JOGGING__TRACK
Time: 14 to 15 | Activity: VALENTINES__CABIN
Time: 15 to 16 | Activity: RUNNING__TRACK
Time: 16 to 17 | Activity: SWIMMING__POOL
Time: 17 to 18 | Activity: THROW_STICKS__FIELD
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: LIFE_ADVICE__CABIN
Time: 20 to 21 | Activity: WALKING__TRACK

Monday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: TAXES__LIBRARY
Time: 11 to 12 | Activity: SLEEP__CABIN
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 14 to 15 | Activity: ARTS__CABIN
Time: 15 to 16 | Activity: CRAFTS__CABIN
Time: 16 to 17 | Activity: DISHES__CABIN
Time: 17 to 18 | Activity: LAUNDRY__CABIN
Time: 18 to 19 | Activity: DINNER__CABIN
Time: 19 to 20 | Activity: LIFE_ADVICE__CABIN
Time: 20 to 21 | Activity: SANTA__CABIN
Tuesday's Schedule
Time: 8 to 9 | Activity: WAKEUP__CABIN
Time: 9 to 10 | Activity: BREAKFAST__CABIN
Time: 10 to 11 | Activity: TAXES__LIBRARY
Time: 11 to 12 | Activity: RUNNING__TRACK
Time: 12 to 13 | Activity: LUNCH__CABIN
Time: 13 to 14 | Activity: FRIENDLY_CONVERSATION__CABIN
Time: 14 to 15 | Activity: DISHES__CABIN
Time: 15 to 16 | Activity: SUPER_HAPPY__EVERYWHERE
Time: 16 to 17 | Activity: SWIMMING__POOL
Time: 17 to 18 | Activity: JUMPING__FIELD
